sprint_id,name,status,items_completed
SPRINT-022,State Coordination Cleanup,Completed,"BACKLOG-142 Phase 3 (7 tasks: TASK-949-957) - Legacy code removed, architecture documented"
SPRINT-024,Quality and Coverage,deprecated,Never executed - items returned to backlog
SPRINT-027,Messages & Contacts Polish,Completed,"6 tasks (TASK-990 to TASK-995) + 9 unplanned fixes. PRs #354-362. Thread grouping, auto-linking, manual attach/unlink, bubble direction, contact SAVE/LOAD bugs"
SPRINT-028,Stability & UX Polish,Completed,"6 tasks (TASK-1003 to TASK-1009) + 7 unplanned fixes. PRs #364-369. npm audit, dashboard scroll, Show in Folder, state machine, T&C, auto-refresh"
SPRINT-029,UX Improvements,deprecated,Never executed - items returned to backlog
SPRINT-030,Message & Transaction UX,deprecated,Never executed - items returned to backlog
SPRINT-031,Codebase Health,deprecated,Never executed - items returned to backlog
SPRINT-032,Bug Fixes & Stability,deprecated,Never executed - items returned to backlog
SPRINT-033,iMessage Stability & UX,Completed,"5 tasks (TASK-1028-1032): iMessage encoding fix, UI freeze, contacts pre-pop, auto-link, email/text counts"
SPRINT-034,Stability Fixes,Completed,"6 of 7 tasks (TASK-1035-1040): Binary plist, settings scroll, regressions, email state, edit contacts. TASK-1041 blocked"
SPRINT-035,Contact & Communication Fixes,deprecated,Never executed - items returned to backlog
SPRINT-036,Deterministic Message Parsing,Completed,"6 of 7 tasks (TASK-1046-1051): Format detection, parser refactors, thread ID, test suite. TASK-1052 pending"
SPRINT-037,Test Coverage,Completed,"3 tasks (TASK-1053-1055): databaseService mocking fix (PR #428), critical path tests (PR #429), CI coverage thresholds (PR #429). 20 iosMessagesParser tests still failing (BACKLOG-231)"
SPRINT-040,UI Design System,Completed,"9 tasks (TASK-1100-1108) + 2 hotfixes: SyncProgress component (PR #440), Notification system (PR #439), Dashboard labels (PRs #441,443), Chat card unification (PRs #442,445-448), Transaction header responsive (PR #449)"
SPRINT-041,Bug Fixes,Completed,"5 tasks (TASK-1109-1113): Unlink UI refresh (PR #450), Duplicate sync (PR #451), Contact save (PR #452), Attachments stale ID (PR #453), UI freeze modal (PR #454). **Note:** BACKLOG-220 fix insufficient - reopened for SPRINT-042"
SPRINT-042,Database Schema Alignment,Completed,"3 tasks (TASK-1114-1116): Thread-based communications schema, service updates, unlink UI integration. BACKLOG-220 (reopened), BACKLOG-296. PR #462"
SPRINT-043,Security Hardening,Completed,"3 tasks (TASK-1117-1119): Sandbox re-enablement (PR #463), env var centralization (PRs #464,466), CSP tightening (PR #465). BACKLOG-247, 248, 249, 303"
SPRINT-044,Reliability & Data Integrity,Completed,"2 tasks completed: TASK-1122 iMessage attachments (PR #471), TASK-1123 group chat detection (PR #470). TASK-1120/1121 found already fixed (TASK-1071, TASK-1113). ~77K actual tokens"
SPRINT-045,Contact Workflow Improvements,Completed,"4 tasks: TASK-1124 message contacts (PR #473), TASK-1125 import auto-select (PR #474), TASK-1126 wire auto-link (PR #475), TASK-1127 hide phone/email (PR #472). ~88K actual tokens"
SPRINT-052,Email Sync Production Ready,Completed,"11 PRs merged. Core: BACKLOG-457 (sync emails from provider), BACKLOG-458 (connection status fix). Bug fixes: BACKLOG-490, 491, 493. Feature: BACKLOG-494 (email thread display). Performance: contacts loading, reindex button. Deferred: BACKLOG-406, 454, 492. New: BACKLOG-497 (SQLite worker thread), BACKLOG-498 (disk space check). Infrastructure: tokens.csv conversion, /log-metrics skill."
SPRINT-060,Database Architecture Cleanup,completed,"10 tasks (TASK-1300-1308): emails table, emailDbService, junction table refactor. BACKLOG-506. PR #620 merged to develop. ~150K tokens (+23% variance from hotfixes during testing)"
SPRINT-061,Communication Display Fixes,completed,"10 tasks (TASK-1400-1410): Counter labels, contact name extraction, UI fixes. BACKLOG-510 + 513 completed, BACKLOG-514 deferred (already implemented), BACKLOG-515 added. PR #630. ~92K tokens (37% under estimate)"
SPRINT-062,Auth & Licensing Integration,active,"Auth licensing flow: browser auth, license validation, trial creation, upgrade flow. TASK-1500-1513. PRs #641-665. Phase 3 testing: TASK-1508 USER GATE PASSED, TASK-1509 SR review in progress. Unplanned: auth:force-logout, shell:open-popup, Switch Account button."
SPRINT-063,Onboarding Flow Refactor,active,"Phase 1+2 COMPLETE: Flow reorder, service layer, dead code removal. PRs #656-665. Phase 3: Carried TASK-1508/1509 from SPRINT-062 (USER GATE PASSED). Phase 4-5: Build fixes and final review pending."
SPRINT-066,Contact Management UX Overhaul,completed,"12 tasks (TASK-1761-1771): SourcePill, ContactRow, ContactSearchList, ContactRoleRow, EditContactsModal, ContactAssignmentStep, ContactCard, ContactPreview, multi-category filter, optimistic updates. PRs #679-693. ~186K tokens."
SPRINT-077,Desktop UI Cleanup,complete,"4 tasks (TASK-1944-1948) + polish PR: Settings stubs removed, responsive toolbar, health check azure fix, auto-download toggle. PRs #792-796. BACKLOG-649 to BACKLOG-656."
SPRINT-078,Contact Source Selection & Message Filtering,completed,"4 tasks (TASK-1949-1952): Contact source prefs UI, wire direct imports, wire inferred contacts, message import filter. PRs #797-800. Follow-up: BACKLOG-657 (default filters + cap warning)."
SPRINT-079,Contact Bug Fixes,completed,"3 tasks (TASK-1953-1955): Outlook auto-sync, source filter UI, import modal refresh. PRs #804-806. BACKLOG-658 to BACKLOG-660."
